A63H	B23D	-1.81867840049e-07
G06T	H04W	-2.67076096566e-05
A61H	B60N	5.81147576021e-06
A47L	B03D	-8.77552037129e-08
A23K	B29B	-7.57287967658e-07
B41M	H01Q	-1.1782329158e-06
F17C	F28C	1.07541641184e-06
B31C	C08J	-7.39039778458e-08
E05Y	H04B	-8.15557333478e-06
B25F	H01K	2.38953602472e-08
B29K	H04Q	-1.34990964413e-06
A62C	B66B	3.75257457212e-07
C01C	F23N	5.57344358221e-08
A62C	B23D	1.85272167327e-07
C08F	F01K	-5.51645677361e-07
C25F	D21F	-8.57229489761e-09
C02F	E04C	-3.38327905636e-07
A63H	H02B	-2.59695807319e-08
B31F	C25D	-1.68628852041e-07
B60H	F16N	-1.20882414967e-07
B64D	F24C	1.51374854321e-08
F04D	H01B	-1.43838541769e-06
B65C	H02K	-3.4824951397e-07
B60K	F05C	-1.53859753892e-06
A47F	B67B	-5.16996324819e-08
B27B	E02F	-1.93032059756e-07
G04G	G06J	2.2775986534e-05
B60K	G21D	-2.05432344567e-07
A44C	A61J	6.17859271162e-07
B21F	F41G	4.32691684864e-07
C05F	C13B	1.13753973801e-06
F16G	G01V	-1.89129182274e-07
C01P	Y02B	-5.66210672204e-06
F02G	G01R	-6.27268373686e-07
A45C	F24C	4.84527292094e-08
F02D	G01L	4.42406717092e-05
A41D	C09D	-3.10582523371e-06
B63H	C01D	-5.78348755668e-08
C22C	D06M	-1.07114787752e-06
F22B	F25B	3.1415759427e-06
C10M	F05C	7.46843711283e-07
A61G	B60V	2.91856505648e-07
B65B	E06B	-5.99711850074e-07
F41H	Y02B	-1.10099889933e-06
B23Q	E21F	-8.09613356158e-08
F02K	F23K	-4.06639138179e-08
G01D	H05H	-4.03130982707e-07
A23L	B28B	-2.98413901178e-07
B64G	B66B	5.90985690299e-08
F25C	G01D	-1.53688110846e-07
F25B	G01S	-3.76696356907e-07
B01L	B23K	-2.31704331069e-06
A23L	D06M	-1.4680748509e-06
A41F	A42C	1.66757703615e-07
B81B	F23R	-1.72266250065e-07
A61K	H04Q	-3.6733856566e-06
F41A	H01H	-3.69042408725e-07
D06P	D21F	-1.11511121449e-07
A47C	F24F	-9.6710335694e-08
A62B	D03D	6.57828258112e-06
E02B	E04G	4.27375480382e-06
C06B	C09J	-2.20150850506e-07
C30B	H03J	-1.76000373993e-07
G01J	G02B	0.000530466376074
E05C	H04N	-3.41938017276e-06
A43B	H04W	-2.98827566004e-06
F16K	H02H	-1.06965358243e-06
C04B	C21C	5.50546923607e-06
F05C	F24D	-1.4002918693e-07
A61Q	C03C	-4.09383011576e-06
A61M	B26D	-3.05962494866e-06
A63F	G01V	-3.88248061283e-07
F02C	F22G	8.69098374736e-07
G03F	H02N	5.32898921058e-06
B61B	B63H	1.27505845381e-06
G03B	G05F	-6.60593432486e-07
C21D	G21K	-1.78361145731e-07
B31F	H01M	-4.9043526691e-07
C03C	F27B	-7.24024230915e-07
A47F	D04D	1.98343786285e-06
B21D	F24J	1.72709712478e-06
C07D	F16F	-4.31574377499e-07
C08F	F26B	-8.8453420066e-07
B05B	E04G	2.2542268691e-06
A63D	G07C	1.92809025946e-07
A61K	H03F	-3.25766910594e-06
B42C	G01C	6.53827750038e-07
B29C	B41J	-1.52198549641e-05
A42B	C09K	-2.74992541142e-07
A61L	G09F	-4.82080722654e-06
B31B	G01V	-1.96778931843e-07
B06B	F27D	-1.91090076396e-07
A61M	C09J	-3.48847970057e-06
C08F	F16D	-1.02700138788e-06
B44D	C09D	9.10378306479e-06
B26D	B65B	3.96470994138e-05
F21S	H04N	-1.51544161888e-05
B60V	Y02T	9.55562633116e-06
B26B	B60S	6.38877427104e-07
A43B	A61F	5.19512267388e-05
F02F	G01J	-4.11851128766e-07
C25F	Y02W	-2.28315916308e-07
G04G	G06T	-9.56584607922e-07
C01B	F01P	-5.36534556315e-07
